Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sudan,SDN,2023,Agricultural land (sq. km),AG.LND.AGRI.K2,1126650
Sudan,SDN,2022,Agricultural land (sq. km),AG.LND.AGRI.K2,1126650
Sudan,SDN,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,1126650
Sudan,SDN,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,1126650
Sudan,SDN,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,1126650
Sudan,SDN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1126650
Sudan,SDN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1123597.2
Sudan,SDN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1120548
Sudan,SDN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1117498.8
Sudan,SDN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1114449.6
Sudan,SDN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1114533.6
Sudan,SDN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1114659.6
Sudan,SDN,2023,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3131691648822
Sudan,SDN,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3131691648822
Sudan,SDN,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3131691648822
Sudan,SDN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3131691648822
Sudan,SDN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3131691648822
Sudan,SDN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3131691648822
Sudan,SDN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.1497430406852
Sudan,SDN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.9865096359743
Sudan,SDN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.8232762312634
Sudan,SDN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.6600428265525
Sudan,SDN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.664539614561
Sudan,SDN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.6712847965739
Sudan,SDN,2023,Arable land (% of land area),AG.LND.ARBL.ZS,11.2392933618844
Sudan,SDN,2022,Arable land (% of land area),AG.LND.ARBL.ZS,11.2392933618844
Sudan,SDN,2021,Arable land (% of land area),AG.LND.ARBL.ZS,11.2392933618844
Sudan,SDN,2020,Arable land (% of land area),AG.LND.ARBL.ZS,11.2392933618844
Sudan,SDN,2019,Arable land (% of land area),AG.LND.ARBL.ZS,11.2392933618844
Sudan,SDN,2018,Arable land (% of land area),AG.LND.ARBL.ZS,11.2392933618844
Sudan,SDN,2017,Arable land (% of land area),AG.LND.ARBL.ZS,11.0759743040685
Sudan,SDN,2016,Arable land (% of land area),AG.LND.ARBL.ZS,10.9127408993576
Sudan,SDN,2015,Arable land (% of land area),AG.LND.ARBL.ZS,10.7495074946467
Sudan,SDN,2014,Arable land (% of land area),AG.LND.ARBL.ZS,10.6119700214133
Sudan,SDN,2013,Arable land (% of land area),AG.LND.ARBL.ZS,10.6209635974304
Sudan,SDN,2012,Arable land (% of land area),AG.LND.ARBL.ZS,10.6299571734475
Sudan,SDN,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1536.24806884
Sudan,SDN,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1542.04496725
Sudan,SDN,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1546.27593635
Sudan,SDN,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.0824304712530423
Sudan,SDN,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.0827415154634499
Sudan,SDN,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.0829685365959735
Sudan,SDN,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,22.71477095597
Sudan,SDN,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,16.91787254253
Sudan,SDN,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,12.68690344878
Sudan,SDN,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.00121880659268743
Sudan,SDN,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.000907762381976945
Sudan,SDN,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.000680741249562735
Sudan,SDN,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.0836492778457297
Sudan,SDN,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.0836492778454268
Sudan,SDN,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.0836492778455362
Sudan,SDN,2023,Forest area (sq. km),AG.LND.FRST.K2,178430.7
Sudan,SDN,2022,Forest area (sq. km),AG.LND.FRST.K2,180150
Sudan,SDN,2021,Forest area (sq. km),AG.LND.FRST.K2,181870
Sudan,SDN,2020,Forest area (sq. km),AG.LND.FRST.K2,183600
Sudan,SDN,2019,Forest area (sq. km),AG.LND.FRST.K2,185320
Sudan,SDN,2018,Forest area (sq. km),AG.LND.FRST.K2,187040
Sudan,SDN,2017,Forest area (sq. km),AG.LND.FRST.K2,188760.3
Sudan,SDN,2016,Forest area (sq. km),AG.LND.FRST.K2,190481.9
Sudan,SDN,2015,Forest area (sq. km),AG.LND.FRST.K2,192099.3
Sudan,SDN,2014,Forest area (sq. km),AG.LND.FRST.K2,193841.78
Sudan,SDN,2013,Forest area (sq. km),AG.LND.FRST.K2,195584.26
Sudan,SDN,2012,Forest area (sq. km),AG.LND.FRST.K2,197326.74
Sudan,SDN,2023,Forest area (% of land area),AG.LND.FRST.ZS,9.55196466809422
Sudan,SDN,2022,Forest area (% of land area),AG.LND.FRST.ZS,9.64400428265525
Sudan,SDN,2021,Forest area (% of land area),AG.LND.FRST.ZS,9.73608137044968
Sudan,SDN,2020,Forest area (% of land area),AG.LND.FRST.ZS,9.82869379014989
Sudan,SDN,2019,Forest area (% of land area),AG.LND.FRST.ZS,9.92077087794432
Sudan,SDN,2018,Forest area (% of land area),AG.LND.FRST.ZS,10.0128479657388
Sudan,SDN,2017,Forest area (% of land area),AG.LND.FRST.ZS,10.1049411134904
Sudan,SDN,2016,Forest area (% of land area),AG.LND.FRST.ZS,10.1971038543897
Sudan,SDN,2015,Forest area (% of land area),AG.LND.FRST.ZS,10.2836884368308
Sudan,SDN,2014,Forest area (% of land area),AG.LND.FRST.ZS,10.3769689507495
Sudan,SDN,2013,Forest area (% of land area),AG.LND.FRST.ZS,10.4702494646681
Sudan,SDN,2012,Forest area (% of land area),AG.LND.FRST.ZS,10.5635299785867
Sudan,SDN,2020,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,1.39049394221808
Sudan,SDN,2019,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,1.3761230195713
Sudan,SDN,2018,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,1.26784715750233
Sudan,SDN,2017,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,0.453899315519832
Sudan,SDN,2022,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2021,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Sudan,SDN,2023,Cereal yield (kg per hectare),AG.YLD.CREL.KG,449.1
Sudan,SDN,2022,Cereal yield (kg per hectare),AG.YLD.CREL.KG,678.1
Sudan,SDN,2021,Cereal yield (kg per hectare),AG.YLD.CREL.KG,508.1
Sudan,SDN,2020,Cereal yield (kg per hectare),AG.YLD.CREL.KG,595.2
Sudan,SDN,2019,Cereal yield (kg per hectare),AG.YLD.CREL.KG,554.4
Sudan,SDN,2018,Cereal yield (kg per hectare),AG.YLD.CREL.KG,731.8
Sudan,SDN,2017,Cereal yield (kg per hectare),AG.YLD.CREL.KG,600.9
Sudan,SDN,2016,Cereal yield (kg per hectare),AG.YLD.CREL.KG,686
Sudan,SDN,2015,Cereal yield (kg per hectare),AG.YLD.CREL.KG,572.1
Sudan,SDN,2014,Cereal yield (kg per hectare),AG.YLD.CREL.KG,683.4
Sudan,SDN,2013,Cereal yield (kg per hectare),AG.YLD.CREL.KG,594.1
Sudan,SDN,2012,Cereal yield (kg per hectare),AG.YLD.CREL.KG,539.4
Sudan,SDN,2011,Cereal yield (kg per hectare),AG.YLD.CREL.KG,563.8
Sudan,SDN,2010,Cereal yield (kg per hectare),AG.YLD.CREL.KG,451.7
Sudan,SDN,2009,Cereal yield (kg per hectare),AG.YLD.CREL.KG,587.3
Sudan,SDN,2008,Cereal yield (kg per hectare),AG.YLD.CREL.KG,567.1
Sudan,SDN,2007,Cereal yield (kg per hectare),AG.YLD.CREL.KG,729.5
Sudan,SDN,2006,Cereal yield (kg per hectare),AG.YLD.CREL.KG,644.8
Sudan,SDN,2005,Cereal yield (kg per hectare),AG.YLD.CREL.KG,505.8
Sudan,SDN,2004,Cereal yield (kg per hectare),AG.YLD.CREL.KG,657.2
Sudan,SDN,2003,Cereal yield (kg per hectare),AG.YLD.CREL.KG,643.7
Sudan,SDN,2002,Cereal yield (kg per hectare),AG.YLD.CREL.KG,487.2
Sudan,SDN,2001,Cereal yield (kg per hectare),AG.YLD.CREL.KG,626.2
Sudan,SDN,2000,Cereal yield (kg per hectare),AG.YLD.CREL.KG,505.2
Sudan,SDN,1999,Cereal yield (kg per hectare),AG.YLD.CREL.KG,429.5
Sudan,SDN,1998,Cereal yield (kg per hectare),AG.YLD.CREL.KG,594
Sudan,SDN,1997,Cereal yield (kg per hectare),AG.YLD.CREL.KG,430.5
Sudan,SDN,1996,Cereal yield (kg per hectare),AG.YLD.CREL.KG,607
Sudan,SDN,1995,Cereal yield (kg per hectare),AG.YLD.CREL.KG,424.9
Sudan,SDN,1994,Cereal yield (kg per hectare),AG.YLD.CREL.KG,508.3
Sudan,SDN,1993,Cereal yield (kg per hectare),AG.YLD.CREL.KG,503.2
Sudan,SDN,1992,Cereal yield (kg per hectare),AG.YLD.CREL.KG,651.6
Sudan,SDN,1991,Cereal yield (kg per hectare),AG.YLD.CREL.KG,681.2
Sudan,SDN,1990,Cereal yield (kg per hectare),AG.YLD.CREL.KG,463
Sudan,SDN,1989,Cereal yield (kg per hectare),AG.YLD.CREL.KG,369.4
Sudan,SDN,1988,Cereal yield (kg per hectare),AG.YLD.CREL.KG,628.3
Sudan,SDN,1987,Cereal yield (kg per hectare),AG.YLD.CREL.KG,364.8
Sudan,SDN,1986,Cereal yield (kg per hectare),AG.YLD.CREL.KG,565.4
Sudan,SDN,1985,Cereal yield (kg per hectare),AG.YLD.CREL.KG,559.8
Sudan,SDN,1984,Cereal yield (kg per hectare),AG.YLD.CREL.KG,290.4
Sudan,SDN,1983,Cereal yield (kg per hectare),AG.YLD.CREL.KG,494.1
Sudan,SDN,1982,Cereal yield (kg per hectare),AG.YLD.CREL.KG,480.3
Sudan,SDN,1981,Cereal yield (kg per hectare),AG.YLD.CREL.KG,760.1
Sudan,SDN,1980,Cereal yield (kg per hectare),AG.YLD.CREL.KG,629.5
Sudan,SDN,1979,Cereal yield (kg per hectare),AG.YLD.CREL.KG,544
Sudan,SDN,1978,Cereal yield (kg per hectare),AG.YLD.CREL.KG,722.4
Sudan,SDN,1977,Cereal yield (kg per hectare),AG.YLD.CREL.KG,648.9
Sudan,SDN,1976,Cereal yield (kg per hectare),AG.YLD.CREL.KG,776.8
Sudan,SDN,1975,Cereal yield (kg per hectare),AG.YLD.CREL.KG,692.6
Sudan,SDN,1974,Cereal yield (kg per hectare),AG.YLD.CREL.KG,672.1
Sudan,SDN,1973,Cereal yield (kg per hectare),AG.YLD.CREL.KG,604.2
Sudan,SDN,1972,Cereal yield (kg per hectare),AG.YLD.CREL.KG,604.7
Sudan,SDN,1971,Cereal yield (kg per hectare),AG.YLD.CREL.KG,756.6
Sudan,SDN,1970,Cereal yield (kg per hectare),AG.YLD.CREL.KG,721.2
