objectid,adm0_name,adm0_iso3,adm0_m49,adm1_name,adm1_pcode,adm2_pcode,adm2_name,adm_name,adm_pcode,adm_level,round,coll_start_date,coll_end_date,coll_mid_date,surveys,tot_crop_producers,tot_ls_producers,tot_fish_producers,hh_agricactivity_1,hh_agricactivity_2,hh_agricactivity_3,hh_agricactivity_4,hh_agricactivity_888,hh_agricactivity_999,resp_isfishproducer_1,resp_iscropproducer_1,resp_islsproducer_1,crp_area_change_1,crp_area_change_2,crp_area_change_3,crp_area_change_4,crp_area_change_5,crp_area_change_888,crp_area_change_999,crp_harv_change_1,crp_harv_change_2,crp_harv_change_3,crp_harv_change_4,crp_harv_change_5,crp_harv_change_888,crp_harv_change_999,crp_main_1100,crp_main_1200,crp_main_1300,crp_main_1400,crp_main_1500,crp_main_1600,crp_main_1990,crp_main_2100,crp_main_2200,crp_main_2300,crp_main_2400,crp_main_2500,crp_main_2600,crp_main_2990,crp_main_3100,crp_main_3200,crp_main_3300,crp_main_3400,crp_main_3500,crp_main_3600,crp_main_3700,crp_main_3990,crp_main_4100,crp_main_4200,crp_main_4300,crp_main_4400,crp_main_4500,crp_main_4600,crp_main_4700,crp_main_4900,crp_main_4101,crp_main_4990,crp_main_5100,crp_main_5200,crp_main_5300,crp_main_5400,crp_main_5500,crp_main_5600,crp_main_5700,crp_main_5800,crp_main_5900,crp_main_5101,crp_main_5110,crp_main_5990,crp_main_6100,crp_main_6200,crp_main_6300,crp_main_6400,crp_main_6990,crp_main_7100,crp_main_7200,crp_main_7300,crp_main_7400,crp_main_7500,crp_main_7600,crp_main_7700,crp_main_7800,crp_main_7900,crp_main_7101,crp_main_7110,crp_main_7120,crp_main_7130,crp_main_7140,crp_main_7150,crp_main_7160,crp_main_7170,crp_main_7180,crp_main_7990,crp_main_8100,crp_main_8200,crp_main_8300,crp_main_8400,crp_main_8500,crp_main_8600,crp_main_8700,crp_main_8800,crp_main_8990,crp_main_9100,crp_main_9200,crp_main_9300,crp_main_9400,crp_main_9500,crp_main_9990,crp_main_10100,crp_main_10200,crp_main_10300,crp_main_10400,crp_main_10500,crp_main_10600,crp_main_10990,crp_main_777000,crp_main_888000,crp_main_999000,crp_irrig_source_1,crp_irrig_source_2,crp_irrig_source_3,crp_irrig_source_4,crp_irrig_source_5,crp_irrig_source_666,crp_irrig_source_888,crp_irrig_source_999,crp_irrig_system_1,crp_irrig_system_2,crp_irrig_system_3,crp_irrig_system_4,crp_irrig_system_5,crp_irrig_system_888,crp_irrig_system_999,crp_irrig_pay_0,crp_irrig_pay_1,crp_irrig_pay_888,crp_irrig_pay_999,crp_storage_1,crp_storage_2,crp_storage_3,crp_storage_4,crp_storage_5,crp_storage_6,crp_storage_888,crp_storage_999,crp_salesprice_1,crp_salesprice_2,crp_salesprice_3,crp_salesprice_4,crp_salesprice_5,crp_salesprice_888,crp_salesprice_999,crp_proddif_0,crp_proddif_1,crp_proddif_888,crp_proddif_999,crp_proddif_access_credit_1,crp_proddif_access_fertilize_1,crp_proddif_access_fuel_1,crp_proddif_access_labour_1,crp_proddif_access_machinery_1,crp_proddif_access_pesticide_1,crp_proddif_access_plot_1,crp_proddif_animal_grazing_1,crp_proddif_dk_1,crp_proddif_excess_water_1,crp_proddif_lack_irrigation_1,crp_proddif_other_1,crp_proddif_pest_outbreak_1,crp_proddif_plant_disease_1,crp_proddif_ref_1,crp_proddif_seed_quality_1,crp_proddif_seed_quantity_1,crp_proddif_soil_erosion_1,crp_salesdif_0,crp_salesdif_1,crp_salesdif_888,crp_salesdif_999,crp_saledif_competition_1,crp_saledif_damage_losses_1,crp_saledif_dk_1,crp_saledif_low_demand_1,crp_saledif_low_price_1,crp_saledif_marketing_cost_1,crp_saledif_other_1,crp_saledif_pay_delay_1,crp_saledif_processing_1,crp_saledif_ref_1,crp_seed_company_1,crp_seed_dk_1,crp_seed_gov_1,crp_seed_market_1,crp_seed_ngo_1,crp_seed_organized_community_1,crp_seed_other_1,crp_seed_ownprod_1,crp_seed_ref_1,crp_seed_relatives_friends_1,hh_age_median,hh_age_wmean,hh_age_stddev,hh_age_ci_low,hh_age_ci_high,hh_size_median,hh_size_wmean,hh_size_stddev,hh_size_ci_low,hh_size_ci_high,tot_income_median,tot_income_wmean,tot_income_stddev,tot_income_ci_low,tot_income_ci_high,crp_harv_lastyr_kg_median,crp_harv_lastyr_kg_wmean,crp_harv_lastyr_kg_stddev,crp_harv_lastyr_kg_ci_low,crp_harv_lastyr_kg_ci_high,crp_harv_vol_kg_median,crp_harv_vol_kg_wmean,crp_harv_vol_kg_stddev,crp_harv_vol_kg_ci_low,crp_harv_vol_kg_ci_high,crp_landsize_ha_median,crp_landsize_ha_wmean,crp_landsize_ha_stddev,crp_landsize_ha_ci_low,crp_landsize_ha_ci_high
736,Yemen,YEM,887,Abyan,YE12,,,Abyan,YE12,1,5,1/26/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/30/2023 12:00:00 AM,129,,,,6.8794,21.6468,41.7877,29.6863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
737,Yemen,YEM,887,Ad Dali',YE30,,,Ad Dali',YE30,1,5,1/25/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/29/2023 12:00:00 AM,116,,,,5.4882,13.4637,42.3934,38.6556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
738,Yemen,YEM,887,Aden,YE24,,,Aden,YE24,1,5,1/26/2023 12:00:00 AM,2/2/2023 12:00:00 AM,1/29/2023 12:00:00 AM,115,,,,6.2618,5.4126,5.2542,83.0709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
739,Yemen,YEM,887,Al Bayda,YE14,,,Al Bayda,YE14,1,5,1/25/2023 12:00:00 AM,1/31/2023 12:00:00 AM,1/28/2023 12:00:00 AM,118,,,,7.6253,15.1276,19.6483,57.5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
740,Yemen,YEM,887,Al Hodeidah,YE18,,,Al Hodeidah,YE18,1,5,1/25/2023 12:00:00 AM,2/2/2023 12:00:00 AM,1/29/2023 12:00:00 AM,110,,,,3.7565,20.9615,23.3564,51.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
741,Yemen,YEM,887,Al Jawf,YE16,,,Al Jawf,YE16,1,5,1/25/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/29/2023 12:00:00 AM,112,,,,8.8358,17.1949,32.2841,41.6862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
742,Yemen,YEM,887,Al Maharah,YE28,,,Al Maharah,YE28,1,5,1/28/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/31/2023 12:00:00 AM,120,,,,0.0353,31.1076,17.8669,50.9899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
743,Yemen,YEM,887,Al Mahwit,YE27,,,Al Mahwit,YE27,1,5,1/25/2023 12:00:00 AM,1/31/2023 12:00:00 AM,1/28/2023 12:00:00 AM,119,,,,20.0781,11.7374,29.9636,38.2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
744,Yemen,YEM,887,Amran,YE29,,,Amran,YE29,1,5,1/25/2023 12:00:00 AM,1/28/2023 12:00:00 AM,1/26/2023 12:00:00 AM,118,,,,6.2199,8.5024,38.9333,46.3446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
745,Yemen,YEM,887,Dhamar,YE20,,,Dhamar,YE20,1,5,1/25/2023 12:00:00 AM,1/30/2023 12:00:00 AM,1/27/2023 12:00:00 AM,113,,,,11.4966,5.9088,36.1355,46.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
