objectid,adm0_name,adm0_iso3,adm0_m49,adm1_name,adm1_pcode,adm2_pcode,adm2_name,adm_name,adm_pcode,adm_level,round,coll_start_date,coll_end_date,coll_mid_date,surveys,tot_crop_producers,tot_ls_producers,tot_fish_producers,hh_agricactivity_1,hh_agricactivity_2,hh_agricactivity_3,hh_agricactivity_4,hh_agricactivity_888,hh_agricactivity_999,resp_isfishproducer_1,resp_iscropproducer_1,resp_islsproducer_1,ls_salesmain_1,ls_salesmain_2,ls_salesmain_3,ls_salesmain_4,ls_salesmain_5,ls_salesmain_6,ls_salesmain_7,ls_salesmain_8,ls_salesmain_9,ls_salesmain_10,ls_salesmain_11,ls_salesmain_888,ls_salesmain_999,ls_main_1,ls_main_2,ls_main_3,ls_main_4,ls_main_5,ls_main_6,ls_main_7,ls_main_8,ls_main_666,ls_main_888,ls_main_999,ls_num_increased_1,ls_num_decreased_1,ls_num_no_change_1,ls_num_dec_consumed_1,ls_num_dec_death_1,ls_num_dec_escape_stolen_1,ls_num_dec_poor_health_1,ls_num_dec_sales_distress_1,ls_num_dec_sales_good_price_1,ls_num_inc_dec_dk_1,ls_num_inc_dec_other_1,ls_num_inc_dec_ref_1,ls_num_inc_less_sales_1,ls_num_inc_more_acquired_1,ls_num_inc_more_birth_1,ls_num_inc_received_free_1,ls_feed_common_pasture_1,ls_feed_dk_1,ls_feed_free_dist_1,ls_feed_open_pasture_1,ls_feed_other_1,ls_feed_purchased_1,ls_feed_ref_1,ls_feed_self_produced_1,ls_proddif_0,ls_proddif_1,ls_proddif_888,ls_proddif_999,ls_proddif_access_credit_1,ls_proddif_access_labour_1,ls_proddif_access_market_1,ls_proddif_access_pasture_1,ls_proddif_access_water_1,ls_proddif_diseases_1,ls_proddif_dk_1,ls_proddif_feed_purchase_1,ls_proddif_other_1,ls_proddif_ref_1,ls_proddif_theft_1,ls_proddif_vet_input_1,ls_proddif_vet_serv_1,ls_salesdif_0,ls_salesdif_1,ls_salesdif_888,ls_salesdif_999,ls_salesdif_competition_1,ls_salesdif_damage_losses_1,ls_salesdif_dk_1,ls_salesdif_low_demand_1,ls_salesdif_low_price_1,ls_salesdif_marketing_cost_1,ls_salesdif_other_1,ls_salesdif_pay_delay_1,ls_salesdif_processing_1,ls_salesdif_ref_1,ls_salesdif_slaughterhouse_1,ls_salesprice_1,ls_salesprice_2,ls_salesprice_3,ls_salesprice_4,ls_salesprice_5,ls_salesprice_888,ls_salesprice_999,fish_main_coastal_1,fish_main_offshore_sea_1,fish_main_freshwater_1,fish_main_aquaculture_1,fish_main_dk_1,fish_main_ref_1,fish_change_1,fish_change_2,fish_change_3,fish_change_4,fish_change_5,fish_change_888,fish_change_999,fish_proddif_0,fish_proddif_1,fish_proddif_888,fish_proddif_999,fish_proddif_access_area_1,fish_proddif_damage_equip_1,fish_proddif_dk_1,fish_proddif_find_fish_1,fish_proddif_fuel_1,fish_proddif_infrastructure_1,fish_proddif_input_access_1,fish_proddif_labour_1,fish_proddif_other_1,fish_proddif_pests_1,fish_proddif_ref_1,fish_inputdif_bait_feed_1,fish_inputdif_dk_1,fish_inputdif_fingerling_1,fish_inputdif_fuel_1,fish_inputdif_gear_1,fish_inputdif_ice_1,fish_inputdif_labour_1,fish_inputdif_other_1,fish_inputdif_ref_1,fish_inputdif_repairs_1,fish_salesmain_1,fish_salesmain_2,fish_salesmain_3,fish_salesmain_4,fish_salesmain_666,fish_salesmain_888,fish_salesmain_999,fish_salesdif_0,fish_salesdif_1,fish_salesdif_888,fish_salesdif_999,fish_saledif_competition_1,fish_saledif_damage_losses_1,fish_saledif_dk_1,fish_saledif_low_demand_1,fish_saledif_low_prices_1,fish_saledif_marketing_cost_1,fish_saledif_other_1,fish_saledif_pay_delay_1,fish_saledif_processing_1,fish_saledif_ref_1,fish_salesprice_1,fish_salesprice_2,fish_salesprice_3,fish_salesprice_4,fish_salesprice_5,fish_salesprice_888,fish_salesprice_999,hh_age_median,hh_age_wmean,hh_age_stddev,hh_age_ci_low,hh_age_ci_high,hh_size_median,hh_size_wmean,hh_size_stddev,hh_size_ci_low,hh_size_ci_high,tot_income_median,tot_income_wmean,tot_income_stddev,tot_income_ci_low,tot_income_ci_high,ls_num_diff_median,ls_num_diff_wmean,ls_num_diff_stddev,ls_num_diff_ci_low,ls_num_diff_ci_high,ls_num_lastyr_median,ls_num_lastyr_wmean,ls_num_lastyr_stddev,ls_num_lastyr_ci_low,ls_num_lastyr_ci_high,ls_num_now_median,ls_num_now_wmean,ls_num_now_stddev,ls_num_now_ci_low,ls_num_now_ci_high
736,Yemen,YEM,887,Abyan,YE12,,,Abyan,YE12,1,5,1/26/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/30/2023 12:00:00 AM,129,,,,6.8794,21.6468,41.7877,29.6863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
737,Yemen,YEM,887,Ad Dali',YE30,,,Ad Dali',YE30,1,5,1/25/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/29/2023 12:00:00 AM,116,,,,5.4882,13.4637,42.3934,38.6556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
738,Yemen,YEM,887,Aden,YE24,,,Aden,YE24,1,5,1/26/2023 12:00:00 AM,2/2/2023 12:00:00 AM,1/29/2023 12:00:00 AM,115,,,,6.2618,5.4126,5.2542,83.0709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
739,Yemen,YEM,887,Al Bayda,YE14,,,Al Bayda,YE14,1,5,1/25/2023 12:00:00 AM,1/31/2023 12:00:00 AM,1/28/2023 12:00:00 AM,118,,,,7.6253,15.1276,19.6483,57.5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
740,Yemen,YEM,887,Al Hodeidah,YE18,,,Al Hodeidah,YE18,1,5,1/25/2023 12:00:00 AM,2/2/2023 12:00:00 AM,1/29/2023 12:00:00 AM,110,,,,3.7565,20.9615,23.3564,51.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
741,Yemen,YEM,887,Al Jawf,YE16,,,Al Jawf,YE16,1,5,1/25/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/29/2023 12:00:00 AM,112,,,,8.8358,17.1949,32.2841,41.6862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
742,Yemen,YEM,887,Al Maharah,YE28,,,Al Maharah,YE28,1,5,1/28/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/31/2023 12:00:00 AM,120,,,,0.0353,31.1076,17.8669,50.9899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
743,Yemen,YEM,887,Al Mahwit,YE27,,,Al Mahwit,YE27,1,5,1/25/2023 12:00:00 AM,1/31/2023 12:00:00 AM,1/28/2023 12:00:00 AM,119,,,,20.0781,11.7374,29.9636,38.2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
744,Yemen,YEM,887,Amran,YE29,,,Amran,YE29,1,5,1/25/2023 12:00:00 AM,1/28/2023 12:00:00 AM,1/26/2023 12:00:00 AM,118,,,,6.2199,8.5024,38.9333,46.3446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
745,Yemen,YEM,887,Dhamar,YE20,,,Dhamar,YE20,1,5,1/25/2023 12:00:00 AM,1/30/2023 12:00:00 AM,1/27/2023 12:00:00 AM,113,,,,11.4966,5.9088,36.1355,46.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
