location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,334053,2,2023-04-28,2023-04-28
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,736223,3,2023-05-07,2023-05-07
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,843130,4,2023-05-14,2023-05-14
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,1042114,5,2023-05-21,2023-05-21
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,1210214,6,2023-05-29,2023-05-29
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,1428551,7,2023-06-04,2023-06-04
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,1670991,8,2023-06-13,2023-06-13
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,1965946,9,2023-06-18,2023-06-18
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,2152936,10,2023-06-25,2023-06-25
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,2231523,11,2023-07-01,2023-07-01
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,2414625,12,2023-07-09,2023-07-09
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,2613036,13,2023-07-16,2023-07-16
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,2686434,14,2023-07-23,2023-07-23
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,3020517,15,2023-07-30,2023-07-30
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,3282303,16,2023-08-06,2023-08-06
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,3433025,17,2023-08-13,2023-08-13
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,3601593,18,2023-08-20,2023-08-20
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,3801754,19,2023-08-27,2023-08-27
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,4075939,20,2023-09-03,2023-09-03
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,4118128,21,2023-09-10,2023-09-10
SDN,True,True,,,,,,,0,Armed Clashes in Sudan,BA,4232849,22,2023-09-17,2023-09-17
