origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,SDN,True,True,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,5-11,5,11,5,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,all,None,None,5,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,all,all,None,None,5,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,5-11,5,11,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,12-17,12,17,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,18-59,18,59,5,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,all,None,None,5,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,5-11,5,11,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,12-17,12,17,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,18-59,18,59,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,60+,60,None,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,all,None,None,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,all,all,None,None,5,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,12-17,12,17,6,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,all,None,None,6,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,18-59,18,59,6,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,all,None,None,6,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,all,all,None,None,12,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,0-4,0,4,9,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,all,None,None,9,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,18-59,18,59,8,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,all,None,None,8,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,all,all,None,None,17,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,0-4,0,4,2480,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,5-11,5,11,4101,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,12-17,12,17,1980,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,18-59,18,59,5923,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,60+,60,None,830,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,all,None,None,15314,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,0-4,0,4,2472,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,5-11,5,11,3561,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,12-17,12,17,1712,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,18-59,18,59,3340,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,60+,60,None,529,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,all,None,None,11614,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,all,all,None,None,26928,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
