isoab,name,pg_id,month_id,main_mean,main_mean_ln,main_dich
#country+code,#country+name,#priogrid+id,#date+month+id,#fatalities+pred+num,#fatalities+pred+ln+num,#fatalities+pred+prob
SDN,Sudan,142248,550,0.0509,0.0497,0.0375
SDN,Sudan,142249,550,0.0237,0.0234,0.0145
SDN,Sudan,142968,550,0.0533,0.0519,0.0406
SDN,Sudan,142969,550,0.0259,0.0255,0.0156
SDN,Sudan,143688,550,0.0906,0.0867,0.1332
SDN,Sudan,143689,550,0.0433,0.0424,0.0288
SDN,Sudan,143690,550,0.019,0.0188,0.0122
SDN,Sudan,143694,550,0.0186,0.0184,0.012
SDN,Sudan,143695,550,0.0408,0.04,0.0264
SDN,Sudan,143696,550,0.0678,0.0656,0.0657
SDN,Sudan,143697,550,0.1373,0.1287,0.4217
SDN,Sudan,143698,550,0.1512,0.1408,0.5331
SDN,Sudan,143699,550,1.5763,0.9464,1.0
SDN,Sudan,143703,550,0.0554,0.0539,0.0435
SDN,Sudan,144408,550,0.26,0.2311,0.9702
SDN,Sudan,144409,550,0.0572,0.0557,0.0463
SDN,Sudan,144410,550,0.0344,0.0338,0.0212
SDN,Sudan,144413,550,0.0288,0.0284,0.0174
SDN,Sudan,144414,550,0.0389,0.0382,0.0248
SDN,Sudan,144415,550,0.0753,0.0726,0.0833
SDN,Sudan,144416,550,0.7742,0.5734,1.0
SDN,Sudan,144417,550,0.0777,0.0748,0.0901
SDN,Sudan,144418,550,0.0681,0.0659,0.0663
SDN,Sudan,144419,550,0.1542,0.1434,0.557
SDN,Sudan,144420,550,0.0663,0.0642,0.0624
SDN,Sudan,144421,550,0.0554,0.0539,0.0435
SDN,Sudan,144422,550,0.0445,0.0435,0.0301
SDN,Sudan,144423,550,0.0415,0.0407,0.0271
SDN,Sudan,144424,550,0.0368,0.0361,0.023
SDN,Sudan,144429,550,0.1263,0.119,0.3371
SDN,Sudan,145127,550,0.2495,0.2227,0.9598
SDN,Sudan,145128,550,0.5311,0.426,1.0
SDN,Sudan,145129,550,0.0933,0.0892,0.1442
SDN,Sudan,145130,550,0.0414,0.0405,0.027
SDN,Sudan,145131,550,0.047,0.0459,0.0328
SDN,Sudan,145132,550,0.0509,0.0496,0.0374
SDN,Sudan,145133,550,0.0682,0.066,0.0665
SDN,Sudan,145134,550,0.1396,0.1307,0.4399
SDN,Sudan,145135,550,0.082,0.0788,0.1029
SDN,Sudan,145136,550,0.1483,0.1383,0.5099
SDN,Sudan,145137,550,0.1065,0.1012,0.2084
SDN,Sudan,145138,550,0.0808,0.0777,0.0991
SDN,Sudan,145139,550,0.6767,0.5168,1.0
SDN,Sudan,145140,550,0.175,0.1613,0.7097
SDN,Sudan,145141,550,0.4209,0.3513,0.9996
SDN,Sudan,145142,550,0.1114,0.1056,0.2364
SDN,Sudan,145143,550,0.0378,0.0371,0.0238
SDN,Sudan,145144,550,0.0314,0.0309,0.019
SDN,Sudan,145148,550,0.0425,0.0416,0.0281
SDN,Sudan,145149,550,0.1895,0.1735,0.7938
SDN,Sudan,145847,550,0.1784,0.1641,0.7309
SDN,Sudan,145848,550,0.1088,0.1032,0.2211
SDN,Sudan,145849,550,0.0653,0.0632,0.0604
SDN,Sudan,145850,550,0.1414,0.1322,0.454
SDN,Sudan,145851,550,0.1801,0.1656,0.7415
SDN,Sudan,145852,550,0.1009,0.0962,0.1791
SDN,Sudan,145853,550,0.3413,0.2937,0.997
SDN,Sudan,145854,550,1.7818,1.0231,1.0
SDN,Sudan,145855,550,0.2696,0.2387,0.9773
SDN,Sudan,145856,550,2.887,1.3576,1.0
SDN,Sudan,145857,550,0.1951,0.1782,0.8208
SDN,Sudan,145858,550,0.2092,0.1899,0.8761
SDN,Sudan,145859,550,1.0181,0.7021,1.0
SDN,Sudan,145860,550,2.8614,1.351,1.0
SDN,Sudan,145861,550,0.5005,0.4058,1.0
SDN,Sudan,145862,550,0.115,0.1088,0.2588
SDN,Sudan,145863,550,0.1184,0.1119,0.2812
SDN,Sudan,145864,550,0.0559,0.0544,0.0443
SDN,Sudan,145865,550,0.0499,0.0487,0.0362
SDN,Sudan,145867,550,0.0673,0.0652,0.0646
SDN,Sudan,145868,550,0.0487,0.0475,0.0347
SDN,Sudan,145869,550,0.0386,0.0378,0.0245
SDN,Sudan,145870,550,0.0515,0.0502,0.0381
SDN,Sudan,146566,550,0.0714,0.069,0.0737
SDN,Sudan,146567,550,0.0431,0.0422,0.0287
SDN,Sudan,146568,550,0.0639,0.0619,0.0577
SDN,Sudan,146569,550,0.1303,0.1225,0.3668
SDN,Sudan,146570,550,0.4911,0.3995,0.9999
SDN,Sudan,146571,550,1.7189,1.0002,1.0
SDN,Sudan,146572,550,0.1582,0.1469,0.5889
SDN,Sudan,146573,550,0.0916,0.0877,0.1373
SDN,Sudan,146574,550,0.1686,0.1558,0.6663
SDN,Sudan,146575,550,0.0924,0.0884,0.1406
SDN,Sudan,146576,550,0.1844,0.1692,0.7662
SDN,Sudan,146577,550,1.2322,0.803,1.0
SDN,Sudan,146578,550,0.234,0.2103,0.9376
SDN,Sudan,146579,550,0.2961,0.2594,0.9893
SDN,Sudan,146580,550,0.3732,0.3171,0.9987
SDN,Sudan,146581,550,1.1053,0.7445,1.0
SDN,Sudan,146582,550,0.272,0.2406,0.9788
SDN,Sudan,146583,550,0.1214,0.1146,0.3018
SDN,Sudan,146584,550,0.0618,0.06,0.0539
SDN,Sudan,146585,550,0.1187,0.1122,0.2832
SDN,Sudan,146587,550,0.261,0.2319,0.9711
SDN,Sudan,146588,550,0.0556,0.0541,0.0438
SDN,Sudan,146589,550,0.0465,0.0455,0.0322
SDN,Sudan,146590,550,0.0325,0.0319,0.0198
SDN,Sudan,147286,550,0.1225,0.1155,0.3093
SDN,Sudan,147287,550,0.1202,0.1135,0.2931
SDN,Sudan,147288,550,0.1251,0.1179,0.328
SDN,Sudan,147289,550,0.3543,0.3033,0.9979
SDN,Sudan,147290,550,23.4387,3.1962,1.0
SDN,Sudan,147291,550,0.468,0.3839,0.9999
SDN,Sudan,147292,550,1.2119,0.7938,1.0
SDN,Sudan,147293,550,0.1493,0.1391,0.5178
SDN,Sudan,147294,550,0.4927,0.4006,0.9999
SDN,Sudan,147295,550,0.4492,0.371,0.9998
SDN,Sudan,147296,550,0.1209,0.1141,0.298
SDN,Sudan,147297,550,0.861,0.6211,1.0
SDN,Sudan,147298,550,1.3988,0.8749,1.0
SDN,Sudan,147299,550,9.2597,2.3282,1.0
SDN,Sudan,147300,550,4.8654,1.7691,1.0
SDN,Sudan,147301,550,0.4744,0.3882,0.9999
SDN,Sudan,147302,550,0.7018,0.5317,1.0
SDN,Sudan,147303,550,0.5634,0.4468,1.0
SDN,Sudan,147304,550,0.0832,0.0799,0.1067
SDN,Sudan,147305,550,0.0524,0.051,0.0393
SDN,Sudan,147306,550,0.0346,0.034,0.0213
SDN,Sudan,147307,550,0.046,0.0449,0.0316
SDN,Sudan,147308,550,0.0512,0.0499,0.0378
SDN,Sudan,147309,550,0.0679,0.0657,0.0658
SDN,Sudan,147310,550,0.0344,0.0339,0.0212
SDN,Sudan,147311,550,0.0533,0.0519,0.0406
SDN,Sudan,148005,550,0.0763,0.0735,0.0862
SDN,Sudan,148006,550,0.1323,0.1242,0.3821
SDN,Sudan,148007,550,1.3194,0.8413,1.0
SDN,Sudan,148008,550,0.1845,0.1693,0.767
SDN,Sudan,148009,550,1.0566,0.7211,1.0
SDN,Sudan,148010,550,11.0825,2.4918,1.0
SDN,Sudan,148011,550,0.5165,0.4164,1.0
SDN,Sudan,148012,550,1.4249,0.8858,1.0
SDN,Sudan,148013,550,0.1612,0.1494,0.6114
SDN,Sudan,148014,550,0.1774,0.1633,0.7246
SDN,Sudan,148015,550,0.0918,0.0878,0.138
SDN,Sudan,148016,550,0.1518,0.1413,0.5378
