Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info
#adm1+code,#adm1+name,#adm2+code,#adm2+name,#sector+description,#sector+cluster+code,#category,#population,#inneed,#targeted,#affected,#reached,#meta+info
,,,,Final caseload,ALL,,46790687,30440770,20934770,,,
,,,,Final caseload,ALL,Adult,20260367,13180853,9064755,,,
,,,,Final caseload,ALL,Children,24050413,15646556,10760472,,,
,,,,Final caseload,ALL,Elderly,2479906,1613361,1109543,,,
,,,,Final caseload,ALL,Female,23535716,15311707,10530189,,,
,,,,Final caseload,ALL,Host Communities,6989267,6374604,5424506,,,
,,,,Final caseload,ALL,IDP,10538960,8881784,7443786,,,
,,,,Final caseload,ALL,Male,23254971,15129063,10404581,,,
,,,,Final caseload,ALL,Non-hosting population,28866057,14292221,7174317,,,
,,,,Final caseload,ALL,People with disability,7018603,4566115,3140216,,,
,,,,Final caseload,ALL,Refugees,892161,892161,892161,,,
,,,,Final caseload,ALL,total,46790687,30440770,20934770,,,
,,,,Site Management,CCM,,,4650651,1885209,,,
,,,,Site Management,CCM,Adult,,1820819,735232,,,
,,,,Site Management,CCM,Children,,2545983,1036865,,,
,,,,Site Management,CCM,Elderly,,28387,113113,,,
,,,,Site Management,CCM,Female,,2440742,999161,,,
,,,,Site Management,CCM,IDP,,4650651,1885209,,,
,,,,Site Management,CCM,Male,,2209909,886048,,,
,,,,Site Management,CCM,People with disability,,696498,282781,,,
,,,,Site Management,CCM,total,,4650651,1885209,,,
,,,,Education,EDU,,,8366997,2956057,,,
,,,,Education,EDU,Children,,8366997,2956057,,,
,,,,Education,EDU,Female,,4267169,1507589,,,
,,,,Education,EDU,Host Communities,,1337106,523141,,,
,,,,Education,EDU,IDP,,1903874,889311,,,
,,,,Education,EDU,Male,,4099829,1448468,,,
,,,,Education,EDU,Non-hosting population,,5126017,1543605,,,
,,,,Education,EDU,total,,8366997,2956057,,,
,,,,Food Security and Livelihoods,FSC,,,25080572,16459354,,,
,,,,Food Security and Livelihoods,FSC,Adult,,11035454,15635523,,,
,,,,Food Security and Livelihoods,FSC,Children,,12540296,330223,,,
,,,,Food Security and Livelihoods,FSC,Elderly,,1504839,493609,,,
,,,,Food Security and Livelihoods,FSC,Female,,12540296,8999555,,,
,,,,Food Security and Livelihoods,FSC,Host Communities,,5440610,5290514,,,
,,,,Food Security and Livelihoods,FSC,IDP,,7500960,6387583,,,
,,,,Food Security and Livelihoods,FSC,Male,,12540296,7459799,,,
,,,,Food Security and Livelihoods,FSC,Non-hosting population,,12139002,4781257,,,
,,,,Food Security and Livelihoods,FSC,People with disability,,3762089,410793,,,
,,,,Food Security and Livelihoods,FSC,total,,25080572,16459354,,,
,,,,Health,HEA,,,20270923,9399993,,,
,,,,Health,HEA,Adult,,8624015,4070197,,,
,,,,Health,HEA,Children,,10610185,4831596,,,
,,,,Health,HEA,Elderly,,1036719,498200,,,
,,,,Health,HEA,Female,,10233241,4793996,,,
,,,,Health,HEA,Host Communities,,4608097,2693173,,,
,,,,Health,HEA,IDP,,7399178,4281911,,,
,,,,Health,HEA,Male,,10037684,4605997,,,
,,,,Health,HEA,Non-hosting population,,8263680,2424923,,,
,,,,Health,HEA,People with disability,,3190947,1409999,,,
,,,,Health,HEA,total,,20270955,9399993,,,
,,,,Multi-Purpose Cash,MPC,,,,1803235,,,
,,,,Multi-Purpose Cash,MPC,Adult,,,780798,,,
,,,,Multi-Purpose Cash,MPC,Children,,,926861,,,
,,,,Multi-Purpose Cash,MPC,Elderly,,,95572,,,
,,,,Multi-Purpose Cash,MPC,Female,,,907026,,,
,,,,Multi-Purpose Cash,MPC,Host Communities,,,362683,,,
,,,,Multi-Purpose Cash,MPC,IDP,,,769116,,,
,,,,Multi-Purpose Cash,MPC,Male,,,896209,,,
,,,,Multi-Purpose Cash,MPC,Non-hosting population,,,671439,,,
,,,,Multi-Purpose Cash,MPC,People with disability,,,270486,,,
,,,,Multi-Purpose Cash,MPC,total,,,1803235,,,
,,,,Refugee Response,MS,,,892161,892161,,,
,,,,Refugee Response,MS,Adult,,428237,428237,,,
,,,,Refugee Response,MS,Children,,410394,410394,,,
,,,,Refugee Response,MS,Elderly,,53530,53530,,,
,,,,Refugee Response,MS,Female,,455002,455002,,,
,,,,Refugee Response,MS,Male,,437159,437159,,,
,,,,Refugee Response,MS,People with disability,,133824,133824,,,
,,,,Refugee Response,MS,total,,892161,892161,,,
,,,,Nutrition,NUT,,,3724374,2326233,,,
,,,,Nutrition,NUT,Adult,,509594,322242,,,
,,,,Nutrition,NUT,Children,,3214780,2003991,,,
,,,,Nutrition,NUT,Female,,2149133,1344277,,,
,,,,Nutrition,NUT,Host Communities,,618505,386185,,,
,,,,Nutrition,NUT,IDP,,948422,616084,,,
,,,,Nutrition,NUT,Male,,1575241,981956,,,
,,,,Nutrition,NUT,Non-hosting population,,2157447,1323964,,,
,,,,Nutrition,NUT,total,,3724374,2326233,,,
,,,,General Protection,PRO,,,11725110,3602700,,,
,,,,General Protection,PRO,Adult,,5645395,1734616,,,
,,,,General Protection,PRO,Children,,5462962,1678569,,,
,,,,General Protection,PRO,Elderly,,616753,189515,,,
,,,,General Protection,PRO,Female,,5899093,1812587,,,
,,,,General Protection,PRO,Host Communities,,1141492,329840,,,
,,,,General Protection,PRO,IDP,,6019097,2144587,,,
,,,,General Protection,PRO,Male,,5826017,1790113,,,
,,,,General Protection,PRO,Non-hosting population,,4564521,1128273,,,
,,,,General Protection,PRO,People with disability,,1758770,540416,,,
,,,,General Protection,PRO,total,,11725110,3602700,,,
,,,,Child Protection,PRO-CPN,,,11252673,3104062,,,
,,,,Child Protection,PRO-CPN,Adult,,1111334,186434,,,
,,,,Child Protection,PRO-CPN,Children,,10141339,2917628,,,
,,,,Child Protection,PRO-CPN,Female,,5661407,1583281,,,
,,,,Child Protection,PRO-CPN,Host Communities,,1517776,276795,,,
,,,,Child Protection,PRO-CPN,IDP,,6164993,2685219,,,
,,,,Child Protection,PRO-CPN,Male,,5591266,1520781,,,
,,,,Child Protection,PRO-CPN,Non-hosting population,,3569904,142048,,,
,,,,Child Protection,PRO-CPN,People with disability,,1687987,465532,,,
,,,,Child Protection,PRO-CPN,total,,11252673,3104062,,,
,,,,Gender-Based Violence (GBV),PRO-GBV,,,12070270,3155022,,,
,,,,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,2482167,258701,,,
,,,,Gender-Based Violence (GBV),PRO-GBV,IDP,,7133835,2686586,,,
,,,,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,2454268,209735,,,
,,,,Gender-Based Violence (GBV),PRO-GBV,total,,12070270,3155022,,,
,,,,Mine Action,PRO-MIN,,,12998744,3006819,,,
,,,,Mine Action,PRO-MIN,Adult,,5590150,1339801,,,
,,,,Mine Action,PRO-MIN,Children,,6684594,1492863,,,
,,,,Mine Action,PRO-MIN,Elderly,,724000,174155,,,
,,,,Mine Action,PRO-MIN,Female,,6572700,1500266,,,
,,,,Mine Action,PRO-MIN,Host Communities,,1736945,626682,,,
,,,,Mine Action,PRO-MIN,IDP,,7061544,1418005,,,
,,,,Mine Action,PRO-MIN,Male,,6426044,1506553,,,
,,,,Mine Action,PRO-MIN,Non-hosting population,,4200255,962132,,,
,,,,Mine Action,PRO-MIN,People with disability,,,450010,,,
,,,,Mine Action,PRO-MIN,total,,12998744,3006819,,,
,,,,Emergency Shelter and Non-Food Items,SHL,,,11614764,2172231,,,
,,,,Emergency Shelter and Non-Food Items,SHL,Adult,,4911624,877801,,,
,,,,Emergency Shelter and Non-Food Items,SHL,Children,,6112201,1164166,,,
,,,,Emergency Shelter and Non-Food Items,SHL,Elderly,,590932,130264,,,
,,,,Emergency Shelter and Non-Food Items,SHL,Female,,5868331,1102661,,,
