region,rain_mean,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,start_date,end_date,drought_index,drought_level
Abyei PCA,529.3477087602561,27.830620405000047,9.343225190000055,29.000099628000044,10.167526425000062,2025-10-26,2025-11-25,1.14,NONE
Gezira,280.96400194914,32.349487305000025,13.554870605000076,34.28552246100003,15.467895508000026,2025-10-26,2025-11-25,6.94,HIGH
Blue Nile,577.9859709870831,33.14052121700007,9.498591868000062,35.09052121700006,12.562316895000038,2025-10-26,2025-11-25,0.0,NONE
Central Darfur,392.5255163747346,22.55321651500003,11.025880003000054,24.71508788700004,13.559326172000056,2025-10-26,2025-11-25,4.34,MODERATE
East Darfur,296.2168131472258,25.286037367000063,9.486818260000064,27.583137796000074,12.972620323000058,2025-10-26,2025-11-25,6.59,HIGH
Gedaref,325.2342328075059,33.56872564400004,12.657896469000036,36.546994890000065,15.76287841800007,2025-10-26,2025-11-25,5.91,MODERATE
Kassala,208.22826557468125,34.21560442100008,14.206298828000058,37.03102832500008,17.207275391000053,2025-10-26,2025-11-25,8.64,EXTREME
Khartoum,150.25649266750085,31.697874582000054,15.182678223000039,34.38067615800003,16.630126953000058,2025-10-26,2025-11-25,10.0,EXTREME
North Darfur,211.84215693790054,22.782502436000073,11.748107910000044,27.54562450700007,20.020535996000035,2025-10-26,2025-11-25,8.56,EXTREME
North Kordofan,166.8409249089945,26.940996290000044,12.253925224000056,32.35571289100005,16.529530928000042,2025-10-26,2025-11-25,9.61,EXTREME
Northern,207.31246186359948,24.997821217000023,16.524653430000058,32.65368652300003,22.22539186800003,2025-10-26,2025-11-25,8.67,EXTREME
Red Sea,236.89646965726874,33.25848388700007,17.00152587900004,38.58236446900003,23.14287180100007,2025-10-26,2025-11-25,7.97,HIGH
River Nile,178.46229171493158,31.885681152000075,15.683288987000026,35.67108154300007,21.99969186800007,2025-10-26,2025-11-25,9.34,EXTREME
Sennar,406.1143501324341,32.91149963000004,11.739501692000033,35.69982121700008,14.103088379000042,2025-10-26,2025-11-25,4.02,MODERATE
South Darfur,439.78774370352596,22.874443516000042,8.64132883000002,25.970886231000065,13.130736671000022,2025-10-26,2025-11-25,3.23,LOW
South Kordofan,500.58284925754276,29.22378612800003,9.71890946700006,32.459900994000066,12.745727539000029,2025-10-26,2025-11-25,1.81,NONE
West Darfur,345.57904406726044,21.813680015000045,12.020480691000046,23.24678231400003,14.983608029000038,2025-10-26,2025-11-25,5.43,MODERATE
West Kordofan,334.247785039611,27.064179194000076,9.603354842000044,29.981927100000064,14.123051863000057,2025-10-26,2025-11-25,5.7,MODERATE
White Nile,259.292228117126,31.529479980000076,11.945086201000038,33.25510798500005,15.229492187000062,2025-10-26,2025-11-25,7.45,HIGH
