location,escalation_risk,risk_level,avg_goldstein,goldstein_trend,event_count,media_mentions,recent_change,first_seen,last_seen
"Fula, An Nil al Azraq, Sudan",3.5,MODERATE,-3.4,-2.2333333333333334,7,7,-11.9,2025-11-23,2025-11-23
"Darfur, Gharb Darfur, Sudan",2.5619444444444444,LOW,-1.4048611111111111,0.05174825174825175,144,144,3.751388888888889,2025-11-21,2025-11-22
"Fasher, Kassala, Sudan",2.5184611316763617,LOW,-0.7870967741935483,-0.18196721311475422,62,62,-1.4903225806451612,2025-11-21,2025-11-23
"El-Obeid, Shamal Kurdufan, Sudan",2.4241941391941393,LOW,-2.9384615384615387,-1.2499999999999998,13,13,-3.538095238095238,2025-11-21,2025-11-22
"El Fasher, Shamal Darfur, Sudan",2.391201052016365,LOW,-0.5508474576271186,-0.1293103448275863,59,59,-1.3206896551724137,2025-11-21,2025-11-22
"Khartoum, Al Khartum, Sudan",2.2269770580296897,LOW,0.0662337662337662,-0.07105263157894744,77,77,-2.0566126855600544,2025-11-21,2025-11-23
Sudan,2.0024064171122995,LOW,1.2244680851063832,-0.008021390374331552,188,188,0.5510638297872341,2025-11-21,2025-11-23
"El-Fasher, Shamal Darfur, Sudan",1.7560317460317458,LOW,-1.1999999999999997,-0.2962962962962963,28,28,-0.6714285714285714,2025-11-21,2025-11-23
"Fashir, Kassala, Sudan",1.4216666666666666,LOW,-1.0,-0.3333333333333333,7,7,-6.416666666666666,2025-11-21,2025-11-21
"Kordofan, Shamal Kurdufan, Sudan",1.2180000000000002,LOW,-1.175,-0.36000000000000015,16,16,1.35,2025-11-21,2025-11-22
"Nile, Nahr an Nil, Sudan",0.9650000000000001,LOW,1.9600000000000002,-2.25,5,5,-0.9000000000000001,2025-11-22,2025-11-22
"Rizeigat, Janub Darfur, Sudan",0.8800000000000001,LOW,-2.0,0.0,2,2,0.0,2025-11-21,2025-11-21
"Tawila, Shamal Darfur, Sudan",0.8237500000000001,LOW,2.7062500000000003,0.2666666666666667,16,16,-1.8375,2025-11-21,2025-11-21
"Kadugli, Janub Kurdufan, Sudan",0.8,LOW,3.4200000000000004,0.0,20,20,0.0,2025-11-21,2025-11-21
"To Gaza, Shamal Kurdufan, Sudan",0.24000000000000005,LOW,-0.4,0.0,2,2,0.0,2025-11-22,2025-11-22
"Abyei, Janub Kurdufan, Sudan",0.24,LOW,3.2,-0.3999999999999999,2,2,-0.3999999999999999,2025-11-21,2025-11-21
"Sennar, Sinnar, Sudan",0.12,LOW,3.4,0.0,3,3,0.0,2025-11-21,2025-11-21
"Kassala, Kassala, Sudan",0.12,LOW,3.0,3.0,3,3,4.5,2025-11-22,2025-11-22
"Dongola, Ash Shamaliyah, Sudan",0.08000000000000002,LOW,2.3499999999999996,0.8999999999999999,2,2,0.8999999999999999,2025-11-21,2025-11-21
