date,event_code,goldstein,num_mentions,avg_tone,actor1,actor2,location,latitude,longitude,source_url
2025-11-10,36,4.0,4,4,AFRICAN UNION,ETHIOPIA,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,36,4.0,2,2,AFRICAN UNION,ETHIOPIA,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-10,233,3.4,10,10,REFUGEE,,"Nuba Mountains, Janub Kurdufan, Sudan",37113,12.0,-12205
2025-11-10,75,7.0,5,5,REFUGEE,,"Nuba Mountains, Janub Kurdufan, Sudan",37113,12.0,-12205
2025-11-10,50,3.5,2,2,SUDAN,,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,50,3.5,2,2,SUDAN,,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-10,50,3.5,5,5,CATHOLIC,,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,190,-10.0,1,1,CIVILIAN,SUDANESE,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,190,-10.0,1,1,CIVILIAN,SUDANESE,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,234,3.4,6,6,ACTOR,CIVILIAN,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,112,-2.0,2,2,ITALIAN,THE INTERNATIONAL COMMUNITY,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,10,0.0,7,7,BISHOP,BISHOP,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,111,-2.0,8,8,BISHOP,SUDAN,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,10,0.0,2,2,BISHOP,SUDAN,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,17,0.0,8,8,SUDAN,,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,51,3.4,1,1,SUDAN,ARMY,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,51,3.4,1,1,SUDAN,ARMY,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,17,0.0,10,10,SUDAN,PRIEST,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,46,7.0,10,10,SUDAN,SOUTH SUDAN,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,871,9.0,10,10,DARFUR,,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,81,5.0,2,2,HASSAN,SUDAN,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-10,110,-2.0,2,2,HASSAN,SUDAN,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-10,202,-10.0,3,3,SUDAN,MEDIA,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,20,3.0,6,6,SUDAN,SYRIA,Sudan,,16.0,SU
2025-11-10,26,4.0,6,6,PRESIDENT,ITALY,Sudan,,16.0,SU
2025-11-10,43,2.8,4,4,,SUDAN,"Tawila, Shamal Darfur, Sudan",37080,13.5,-15004
2025-11-10,130,-4.4,6,6,,SUDAN,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,80,5.0,2,2,,SUDAN,"Kordofan, Shamal Kurdufan, Sudan",37089,13.0833,-9440
2025-11-10,356,7.0,5,5,CIVILIAN,,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,80,5.0,5,5,CIVILIAN,,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-10,172,-5.0,6,6,CIVILIAN,SUDAN,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-10,46,7.0,4,4,PRESIDENT,FIGHTER JET,Sudan,,16.0,SU
