WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE,event_date,cause_class
2024-11-02,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,1,1812.0,Political violence,3104.0,9.7332,28.4712,2024-11-02,political
2024-11-30,Northern Africa,Sudan,Abyei,Battles,Armed clash,3,15,1437.0,Political violence,3104.0,9.7332,28.4712,2024-11-30,political
2024-12-07,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,0,663.0,Political violence,3104.0,9.7332,28.4712,2024-12-07,political
2024-12-14,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,3,840.0,Political violence,3104.0,9.7332,28.4712,2024-12-14,political
2025-01-25,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,1,840.0,Political violence,3104.0,9.7332,28.4712,2025-01-25,political
2025-02-08,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,5,597.0,Political violence,3104.0,9.7332,28.4712,2025-02-08,political
2025-03-01,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,10,161.0,Political violence,3104.0,9.7332,28.4712,2025-03-01,political
2025-03-15,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,1,32.0,Political violence,3104.0,9.7332,28.4712,2025-03-15,political
2025-04-05,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,0,1812.0,Political violence,3104.0,9.7332,28.4712,2025-04-05,political
2025-05-03,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,6,1116.0,Political violence,3104.0,9.7332,28.4712,2025-05-03,political
2025-06-07,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,0,663.0,Political violence,3104.0,9.7332,28.4712,2025-06-07,political
2025-06-14,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,5,663.0,Political violence,3104.0,9.7332,28.4712,2025-06-14,political
2025-07-19,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,5,663.0,Political violence,3104.0,9.7332,28.4712,2025-07-19,political
2025-07-26,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,5,549.0,Political violence,3104.0,9.7332,28.4712,2025-07-26,political
2025-10-04,Northern Africa,Sudan,Abyei,Battles,Armed clash,1,15,840.0,Political violence,3104.0,9.7332,28.4712,2025-10-04,political
2025-06-14,Northern Africa,Sudan,Abyei,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,663.0,Political violence,3104.0,9.7332,28.4712,2025-06-14,
2024-12-14,Northern Africa,Sudan,Abyei,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,1812.0,Political violence,3104.0,9.7332,28.4712,2024-12-14,
2024-11-30,Northern Africa,Sudan,Abyei,Protests,Peaceful protest,1,0,639.0,Demonstrations,3104.0,9.7332,28.4712,2024-11-30,communal
2025-04-19,Northern Africa,Sudan,Abyei,Protests,Peaceful protest,1,0,639.0,Demonstrations,3104.0,9.7332,28.4712,2025-04-19,communal
2025-05-10,Northern Africa,Sudan,Abyei,Protests,Peaceful protest,1,0,20.0,Demonstrations,3104.0,9.7332,28.4712,2025-05-10,communal
2025-05-31,Northern Africa,Sudan,Abyei,Protests,Peaceful protest,1,0,20.0,Demonstrations,3104.0,9.7332,28.4712,2025-05-31,communal
2025-06-21,Northern Africa,Sudan,Abyei,Protests,Peaceful protest,1,0,20.0,Demonstrations,3104.0,9.7332,28.4712,2025-06-21,communal
2025-08-30,Northern Africa,Sudan,Abyei,Protests,Peaceful protest,1,0,20.0,Demonstrations,3104.0,9.7332,28.4712,2025-08-30,communal
2025-10-11,Northern Africa,Sudan,Abyei,Protests,Peaceful protest,1,0,639.0,Demonstrations,3104.0,9.7332,28.4712,2025-10-11,communal
2024-12-07,Northern Africa,Sudan,Abyei,Strategic developments,Agreement,1,0,,Strategic developments,3104.0,9.7332,28.4712,2024-12-07,
2025-03-08,Northern Africa,Sudan,Abyei,Strategic developments,Agreement,1,0,,Strategic developments,3104.0,9.7332,28.4712,2025-03-08,
2025-05-03,Northern Africa,Sudan,Abyei,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,3104.0,9.7332,28.4712,2025-05-03,
2025-01-18,Northern Africa,Sudan,Abyei,Strategic developments,Looting/property destruction,1,0,,Strategic developments,3104.0,9.7332,28.4712,2025-01-18,
2025-03-29,Northern Africa,Sudan,Abyei,Strategic developments,Looting/property destruction,1,0,,Strategic developments,3104.0,9.7332,28.4712,2025-03-29,
2025-04-12,Northern Africa,Sudan,Abyei,Strategic developments,Looting/property destruction,1,0,,Strategic developments,3104.0,9.7332,28.4712,2025-04-12,
2024-11-09,Northern Africa,Sudan,Abyei,Strategic developments,Other,1,0,,Strategic developments,3104.0,9.7332,28.4712,2024-11-09,
2024-11-02,Northern Africa,Sudan,Abyei,Violence against civilians,Abduction/forced disappearance,1,0,10.0,Political violence,3104.0,9.7332,28.4712,2024-11-02,political
2025-02-15,Northern Africa,Sudan,Abyei,Violence against civilians,Abduction/forced disappearance,1,0,1720.0,Political violence,3104.0,9.7332,28.4712,2025-02-15,political
2025-05-24,Northern Africa,Sudan,Abyei,Violence against civilians,Abduction/forced disappearance,1,0,514.0,Political violence,3104.0,9.7332,28.4712,2025-05-24,political
2024-11-02,Northern Africa,Sudan,Abyei,Violence against civilians,Attack,2,2,663.0,Political violence,3104.0,9.7332,28.4712,2024-11-02,political
