location,escalation_risk,risk_level,avg_goldstein,goldstein_trend,event_count,media_mentions,recent_change,first_seen,last_seen
"Wad Madani, Al Jazirah, Sudan",6.68,HIGH,-3.5,-13.0,2,22,-13.0,2025-11-05,2025-11-07
"Babanusa, Janub Kurdufan, Sudan",5.680000000000001,HIGH,-6.0,-8.0,2,10,-8.0,2025-11-05,2025-11-05
"Geneina, Gharb Darfur, Sudan",3.5128571428571433,MODERATE,-7.125,-1.1428571428571428,8,31,1.25,2025-11-03,2025-11-06
"Nubia, Sudan (general), Sudan",3.1600000000000006,MODERATE,-0.30000000000000004,-7.4,2,10,-7.4,2025-11-03,2025-11-03
"Fasher, Kassala, Sudan",2.930170413343002,LOW,-2.266497461928934,-0.0785714285714286,197,1035,0.5580498866213153,2024-11-03,2025-11-10
"Gedaref State, Al Qa?arif, Sudan",2.6799999999999997,LOW,-3.5,-3.0,2,6,-3.0,2025-11-09,2025-11-09
"El-Fasher, Shamal Darfur, Sudan",2.626923076923077,LOW,-1.5673076923076923,0.04589371980676316,208,968,1.1096153846153844,2025-10-07,2025-11-10
"El Fasher, Shamal Darfur, Sudan",2.5844897959183672,LOW,-1.4612244897959183,0.030737704918032873,245,1183,0.0658070105291213,2024-11-03,2025-11-10
"Kordofan, Shamal Kurdufan, Sudan",2.5328,LOW,-1.332,0.11290322580645147,125,662,2.5382744495647716,2025-10-04,2025-11-10
"Northern Kordofan, Shamal Kurdufan, Sudan",2.5033333333333334,LOW,-1.3333333333333333,-4.0,3,20,-6.5,2025-11-03,2025-11-03
"Atbara, Nahr an Nil, Sudan",2.497802197802198,LOW,-2.7142857142857144,-1.0307692307692309,14,63,-5.428571428571429,2025-11-07,2025-11-08
"Darfur, Gharb Darfur, Sudan",2.3605649717514123,LOW,-0.9014124293785312,0.02266288951841358,354,1871,1.3700564971751414,2024-11-04,2025-11-10
"Kadugli, Janub Kurdufan, Sudan",2.309795518207283,LOW,-1.925714285714286,-0.1852941176470588,35,155,-0.8392156862745102,2025-10-08,2025-11-09
"Omdurman, Al Khartum, Sudan",2.260808823529412,LOW,-3.7176470588235295,-0.3125,17,97,2.4222222222222225,2025-11-03,2025-11-09
"Tawila, Shamal Darfur, Sudan",2.2359322033898303,LOW,-0.5898305084745762,0.10940170940170928,118,499,1.5559322033898306,2025-10-28,2025-11-10
"Khartoum, Al Khartum, Sudan",2.182790875364845,LOW,-0.3867052023121388,0.0034883720930231916,173,851,-0.2810879443998931,2025-10-09,2025-11-10
"Fashir, Kassala, Sudan",2.1106131078224104,LOW,-0.859090909090909,-0.023255813953488455,44,203,1.5363636363636366,2025-10-04,2025-11-07
"Akasha, Ash Shamaliyah, Sudan",2.0725000000000002,LOW,-1.9,-2.375,5,24,-4.0,2025-11-05,2025-11-05
Sudan,2.0043965517241378,LOW,0.7107296137339055,-0.014655172413793013,233,1135,0.9861921603300912,2024-11-04,2025-11-10
"Al Fashir, Shamal Darfur, Sudan",1.8194736842105264,LOW,-0.48157894736842116,0.34864864864864864,38,187,-1.0684210526315792,2025-10-28,2025-11-09
"El-Obeid, Shamal Kurdufan, Sudan",1.7744,LOW,-1.936,0.19166666666666657,25,114,0.010897435897435859,2025-11-03,2025-11-09
"Port Sudan, Al Ba?r al A?mar, Sudan",1.3629000000000002,LOW,-0.8760000000000002,-0.041666666666666664,25,115,0.494871794871795,2025-10-31,2025-11-09
"Abyei, Janub Kurdufan, Sudan",1.2612698412698413,LOW,0.1285714285714287,-0.18518518518518517,28,138,-0.8571428571428574,2025-11-03,2025-11-06
"El Geneina, Gharb Darfur, Sudan",1.112,LOW,-2.2800000000000002,0.0,5,15,7.866666666666667,2025-11-03,2025-11-07
"El Obeid, Shamal Kurdufan, Sudan",0.8896895424836602,LOW,-0.123529411764706,0.09375,17,51,-1.6027777777777779,2025-11-03,2025-11-07
"Blue Nile, An Nil al Azraq, Sudan",0.8812500000000001,LOW,0.7333333333333333,-0.4375,9,21,-3.9,2025-11-03,2025-11-05
"Al-Fashir, Shamal Darfur, Sudan",0.8,LOW,0.36500000000000005,0.05263157894736833,20,85,0.3500000000000002,2025-11-03,2025-11-07
"Dabanga, Shamal Darfur, Sudan",0.7283333333333334,LOW,0.3181818181818182,-0.3,11,67,-1.9833333333333334,2025-11-03,2025-11-06
"Northern State, Ash Shamaliyah, Sudan",0.7000000000000002,LOW,0.39999999999999997,-0.20000000000000023,16,52,1.6249999999999998,2025-11-03,2025-11-07
"Al-Affad, Ash Shamaliyah, Sudan",0.542,LOW,1.3545454545454545,-0.34,11,35,0.026666666666666616,2025-11-03,2025-11-07
"Al Qadarif, Al Qa?arif, Sudan",0.54,LOW,0.8999999999999999,-0.44999999999999996,3,6,-2.8499999999999996,2025-11-07,2025-11-07
"Tafari, Janub Kurdufan, Sudan",0.49000000000000005,LOW,0.5333333333333332,0.0,3,34,-3.7,2025-11-03,2025-11-04
"Nile, Nahr an Nil, Sudan",0.32571428571428573,LOW,-0.11428571428571425,-1.4802973661668753e-16,7,27,2.716666666666667,2025-11-05,2025-11-09
"To Gaza, Shamal Kurdufan, Sudan",0.32000000000000006,LOW,1.4000000000000001,0.14285714285714285,8,38,0.8999999999999999,2025-11-04,2025-11-09
"Nuba Mountains, Janub Kurdufan, Sudan",0.27999999999999997,LOW,-0.09999999999999994,2.4,6,29,0.4666666666666668,2025-11-03,2025-11-10
"Abu Qurun, Nahr an Nil, Sudan",0.2533333333333334,LOW,-0.3333333333333335,3.9000000000000004,3,28,6.1000000000000005,2025-11-03,2025-11-03
"Heglig, Al Jazirah, Sudan",0.12,LOW,2.0,3.0,3,17,3.0,2025-11-05,2025-11-08
"White Nile, An Nil al Abya?, Sudan",0.12,LOW,3.466666666666667,1.5,3,14,5.2,2025-11-04,2025-11-04
"Sharaka, Janub Kurdufan, Sudan",0.12,LOW,4.633333333333334,0.050000000000000044,3,9,1.85,2025-11-05,2025-11-05
"Habila, Janub Kurdufan, Sudan",0.12,LOW,5.333333333333333,2.0,3,25,3.5,2025-11-03,2025-11-03
"Rahma, An Nil al Abya?, Sudan",0.08000000000000002,LOW,0.0,0.0,2,6,0.0,2025-11-05,2025-11-06
